chembl_id,drug_name,mesh_id,mesh_heading,efo_id,efo_term,max_phase_for_ind,indication_refs
CHEMBL3,NICOTINE,D016540,Smoking Cessation,EFO:0004319,smoking cessation,3.0,"""NCT00297492,NCT00744913,NCT00833404,NCT00840242,NCT00851357,NCT00894166,NCT00931021,NCT00965913,NCT00966901,NCT00967070,NCT00967174,NCT01075659,NCT01085032,NCT01184664,NCT01287377,NCT01443858,NCT01476202,NCT01502306,NCT01536704,NCT01669122,NCT01702532,NCT01736085,NCT01838460,NCT01847443,NCT01857531,NCT02356913,NCT02521662,NCT02796391,NCT02942212,NCT02997657,NCT03059940,NCT03091699,NCT03178422,NCT03404596,NCT03432273,NCT03432312,NCT03897439,NCT04488744,NCT05311085,NCT05715164,NCT05825924"""
CHEMBL3,NICOTINE,D008569,Memory Disorders,EFO:0001072,memory impairment,1.0,NCT00091468
CHEMBL3,NICOTINE,D020250,Postoperative Nausea and Vomiting,EFO:0004888,post operative nausea and vomiting,2.0,NCT00553709
CHEMBL3,NICOTINE,D000428,Alcohol Drinking,EFO:0004329,alcohol drinking,2.0,"""NCT00616746,NCT00699556"""
CHEMBL3,NICOTINE,D006333,Heart Failure,EFO:0003144,heart failure,3.0,NCT00543881
CHEMBL3,NICOTINE,D029424,"""Pulmonary Disease, Chronic Obstructive""",EFO:0000341,chronic obstructive pulmonary disease,3.0,"""NCT00132236,NCT01539434"""
CHEMBL3,NICOTINE,D060825,Cognitive Dysfunction,HP:0100543,Cognitive impairment,2.0,NCT02720445
CHEMBL3,NICOTINE,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder,1.0,NCT01819259
CHEMBL3,NICOTINE,D014947,Wounds and Injuries,EFO:0000546,injury,2.0,NCT02893345
CHEMBL4,OFLOXACIN,D034381,Hearing Loss,EFO:0004238,hearing loss,1.0,NCT00584155
CHEMBL4,OFLOXACIN,D010033,Otitis Media,EFO:0004992,Otitis media,3.0,NCT00781521
CHEMBL4,OFLOXACIN,D017719,Diabetic Foot,EFO:1001459,diabetic foot,3.0,"""NCT00563394,NCT00563433"""
CHEMBL4,OFLOXACIN,D010019,Osteomyelitis,EFO:0003102,osteomyelitis,0.5,NCT02099240
CHEMBL4,OFLOXACIN,D014552,Urinary Tract Infections,EFO:0003103,urinary tract infection,3.0,NCT02424461
CHEMBL4,OFLOXACIN,D003234,"""Conjunctivitis, Bacterial""",EFO:1000829,bacterial conjunctivitis,3.0,"""NCT01573910,NCT05816070"""
CHEMBL4,OFLOXACIN,D000292,Pelvic Inflammatory Disease,EFO:1001388,Pelvic Inflammatory Disease,3.0,NCT00683865
CHEMBL4,OFLOXACIN,D007239,Infections,EFO:0000544,infection,4.0,"""NCT00002850,NCT00480376,NCT02357407; 00011703-bc55-4c0c-858c-149dc674bc3c; 006095a1-0ac2-4142-9527-f3b058c1d7bc; 03697692-effb-4439-86fe-f9c8e1525409; 058bb5a8-8ed1-43fe-8798-6bf0138734bf; 0772d62d-64e4-4f7f-b3c8-3574d321fbde; 108c9168-c33d-47e8-89a9-0d8ec9d45ce6; 1cb71324-72e7-40f8-8c51-25c7aa0bce57; 1d19a6db-6da5-e7de-f929-2d18bdfa2cf5; 1f42711d-f960-4832-acf5-97096aa6ad77; 29c44184-6d77-4d84-97f4-fbaa4f40fc3e; 2ec6bd57-96df-47ac-b218-1469801868b7; 2f86e302-445b-411b-97ce-b5a469d54abb; 33ad989c-f551-4c57-a4e3-b607686206fa; 48d04295-1e74-4e5a-a0c6-58c7ac0a7547; 5117d567-2004-c5ed-1391-f8831864696f; 557b44ee-bea9-4dfe-866b-f0e3d8fcd018; 566d218b-ad36-43b3-9794-e17092e80658; 59bfb7f9-400c-4bcd-88cc-edde4b1e8189; 5f1c5541-4492-4736-bb60-0b1a654b9cd4; 68c2fbe8-1f92-4dd7-a14e-37f641867290; 6d53082a-a1f0-4ea7-a1fd-277c3330e1b7; 6fc64f52-73bc-418a-aa8b-6999baa35afd; 70ddcd98-87a2-46d4-803a-30605c13b6b6; 7397f901-7ce5-4751-a996-22d51d95a888; 749177b8-1c9e-4bc2-81fd-27d7e88cf9b8; 75d8099b-4e08-43c0-811e-589d4fb52932; 7882f70e-d228-4c52-9390-0d927c51af1f; 7aab4449-3dda-4e2c-8e40-b3244a548bf5; 7bfa54ff-9a72-45e1-8fe5-e8411f8c6e71; 7c31a744-52f8-4c28-a603-aca8f3e5218e; 81e8ece1-ab0b-4deb-8f84-79f21419b328; 8b73d354-4631-40e8-b187-e8b0580bd6ea; 8db221b1-32f3-f6ca-e404-71f56a860d08; 93a464f1-6b54-4f4e-8b71-fa781e2964e6; 95b9fc17-9c94-4762-910c-df0bb0b2aa85; 9bee1830-775d-4c48-926c-383e5d6982f6; 9c6bdb83-178e-4da4-823e-9f496dfba8ea; a522f324-70a0-4051-830b-57a658c1e065; a7952956-b64a-0f99-e053-2995a90a0f91; ad40954d-0b1d-47c5-8bd5-8a1efd9a7153; b199f48d-647c-4041-a3ee-33737c515152; b61d1ed9-1af8-4134-8086-6b6d89dceb6f; bed09b0a-774b-414e-b253-a0ff5f0685a0; c422d4ad-3bd8-4b15-93fc-e0cff8f2c231; c5484f1a-2321-453f-9469-dfcf709e2e2e; c76d8dc7-9a66-471b-814b-ef7f3605ec93; c8020ad4-ac74-4ceb-863e-94da605cf23f; d02d88ba-1c90-4f82-bc94-4ad3c9918cb1; d3417226-1f42-40cd-82ac-bc31ddf79b97; d926172a-b879-48c3-9b32-1e6d92816773; ee1bf431-97fa-4aba-9cc3-0cfcea779ca2; ef145ece-56d8-4dea-a136-ec462b335641; f11b01ea-5be5-49af-afda-4a648edba228; f4f54d5b-32f7-4765-8702-50a78c9d657e; f5b52c9d-3903-48b7-a821-8f4a35dabc1a; f92bfa69-8a36-4f65-8fac-489f50ae48e8; fe564e33-8f5d-4b57-87a9-7afae02eaf97"""
CHEMBL4,OFLOXACIN,D001424,Bacterial Infections,EFO:0000771,bacterial disease,4.0,J01MA01
CHEMBL4,OFLOXACIN,D005902,"""Glaucoma, Open-Angle""",EFO:0004190,open-angle glaucoma,3.0,NCT04005079
CHEMBL5,NALIDIXIC ACID,D010019,Osteomyelitis,EFO:0003102,osteomyelitis,0.5,NCT02099240
CHEMBL5,NALIDIXIC ACID,D001424,Bacterial Infections,EFO:0000771,bacterial disease,4.0,J01MB02
