Name of the Plant,Family,Common Name,Link,Uses
Scleria levis  Retz.,CYPERACEAE,Nutrushes (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003230&column=szBarcode,"""UNKNOWN USE"""
Scleria lithosperma  (L.) Sw.,CYPERACEAE,Nakkupullu (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003231&column=szBarcode,"""UNKNOWN USE"""
Scoparia dulcis  L.,SCROPHULARIACEAE,Jastimadhu (Santal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008761&column=szBarcode,"""UNKNOWN USE"""
Scutellaria discolor  Wall. ex Benth.,LAMIACEAE,Daampaate (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013215&column=szBarcode,"""UNKNOWN USE"""
Scutellaria galericulata  L.,LAMIACEAE,Common Skullcap (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013214&column=szBarcode,"""UNKNOWN USE"""
Sebastiania chamaelea(L.)  Muell.Arg.,EUPHORBIACEAE,Bhuierendi (Konkan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008786&column=szBarcode,"""UNKNOWN USE"""
Secamone emetica  (Retz.) R.Br. ex Sm.,EUPHORBIACEAE,Shadaburi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009468&column=szBarcode,"""UNKNOWN USE"""
Securinega leucopyrus  (Willd.) Müll.Arg.,EUPHORBIACEAE,"Hartho, Ainta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008818&column=szBarcode,"""UNKNOWN USE"""
Securinega virosa  (Roxb. ex Willd.) Baill.,EUPHORBIACEAE,"Dalme, Patala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008820&column=szBarcode,"""UNKNOWN USE"""
Sedum multicaule  Wall. ex Lindl.,CRASSULACEAE,Multi-Stem Sedum (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009440&column=szBarcode,"""UNKNOWN USE"""
Semecarpus anacardium  L.f.,ANACARDIACEAE,"Bhela, Bhilawa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003443&column=szBarcode,"""UNKNOWN USE"""
Senecio bhutanicus  N.P.Balakr.,ASTERACEAE,Lemon Bean Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009343&column=szBarcode,"""UNKNOWN USE"""
Senecio chrysanthemoides  DC.,ASTERACEAE,Cheerful Senecio (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009346&column=szBarcode,"""UNKNOWN USE"""
Senecio jacquemontianus  (Decne.) Benth. ex Hook.f.,ASTERACEAE,Poshkar (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009342&column=szBarcode,"""UNKNOWN USE"""
Senecio tenuifolius  Burm.f.,ASTERACEAE,Katimera (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009341&column=szBarcode,"""UNKNOWN USE"""
Senecio vulgaris  L.,ASTERACEAE,Groundsel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009294&column=szBarcode,"""UNKNOWN USE"""
Sesamum orientale  L.,PEDALIACEAE,Til,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009086&column=szBarcode,"""UNKNOWN USE"""
Sesbania bispinosa  (Jacq.) W.Wight,FABACEAE,Ikkada,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003343&column=szBarcode,"""UNKNOWN USE"""
Sesbania grandiflora  (L.) Poir.,FABACEAE,"Bak, Agasti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003342&column=szBarcode,"""UNKNOWN USE"""
Sesbania sesban  (L.) Merr.,FABACEAE,"Jainti, Jait",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003344&column=szBarcode,"""UNKNOWN USE"""
Seseli diffusum  (Roxb. ex Sm.) Santapau & Wagh,APIACEAE,Vanayamani (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013517&column=szBarcode,"""UNKNOWN USE"""
Seseli sibiricum  Benth. ex C.B.Clarke,APIACEAE,Bhootakeshi (J &K),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013516&column=szBarcode,"""UNKNOWN USE"""
Setaria plicata  (Lam.) T.Cook,POACEAE,Kangni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002938&column=szBarcode,"""UNKNOWN USE"""
Shorea robusta  Gaertn.f.,DIPTEROCARPACEAE,"Sal, Sakhu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013848&column=szBarcode,"""UNKNOWN USE"""
Sida acuta  Burm.f.,MALVACEAE,"Bariara, Kareta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013843&column=szBarcode,"""UNKNOWN USE"""
Sida cordata  (Burm.f.) Borss.Waalk.,MALVACEAE,"Bhiunli, Junka (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013846&column=szBarcode,"""UNKNOWN USE"""
Sida cordifolia  L.,MALVACEAE,Kungyi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013841&column=szBarcode,"""UNKNOWN USE"""
Sida ovata  Forsk.,MALVACEAE,Ball (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013844&column=szBarcode,"""UNKNOWN USE"""
Sida rhombifolia  L.,MALVACEAE,Lal barela,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013842&column=szBarcode,"""UNKNOWN USE"""
Siegesbeckia orientalis  L.,ASTERACEAE,Pilibadkadi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009331&column=szBarcode,"""UNKNOWN USE"""
Silene conoidea  L.,CARYOPHYLLACEAE,Cone campion (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013959&column=szBarcode,"""UNKNOWN USE"""
Silene gallica  L.,CARYOPHYLLACEAE,Windmill Pink (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013967&column=szBarcode,"""UNKNOWN USE"""
Silybum marianum  (L.) Gaertn.,ASTERACEAE,Milk Thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009329&column=szBarcode,"""UNKNOWN USE"""
Sisymbrium altissimum  L.,BRASSICACEAE,Tumble-Mustard (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013872&column=szBarcode,"""UNKNOWN USE"""
Sisymbrium irio  L.,BRASSICACEAE,Khubkalan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013871&column=szBarcode,"""UNKNOWN USE"""
Sisymbrium loeselii  L.,BRASSICACEAE,Small tumble weed mustard (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013869&column=szBarcode,"""UNKNOWN USE"""
Skimmia laureola  (DC.) Sieb. & Zucc. ex Walp.,RUTACEAE,"Kedarpatta, Masturipath (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009836&column=szBarcode,"""UNKNOWN USE"""
Smilax glabra  Roxb.,SMILACACEAE,Barichob-chini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003004&column=szBarcode,"""UNKNOWN USE"""
Smilax lanceaefolia  Roxb.,SMILACACEAE,Hindichobchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003007&column=szBarcode,"""UNKNOWN USE"""
Smilax ovalifolia  Roxb.,SMILACACEAE,"Jangli- aushbah, Chob-chini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003009&column=szBarcode,"""UNKNOWN USE"""
Smithia conferta  Sm.,FABACEAE,Naichibha (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003339&column=szBarcode,"""UNKNOWN USE"""
Smithia sensitiva  Aiton,FABACEAE,Odabrini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003338&column=szBarcode,"""UNKNOWN USE"""
Solanum albicaule  Kotschy ex Dunal,SOLANACEAE,Narkanta (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009178&column=szBarcode,"""UNKNOWN USE"""
Solanum dulcamara  L.,SOLANACEAE,Kakmachi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009166&column=szBarcode,"""UNKNOWN USE"""
Solanum erianthum  D.Don,SOLANACEAE,Vidari (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009167&column=szBarcode,"""UNKNOWN USE"""
Solanum ferox  L.,SOLANACEAE,Garbhada (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009168&column=szBarcode,"""UNKNOWN USE"""
Solanum gracilipes  Decne.,SOLANACEAE,Howa (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009177&column=szBarcode,"""UNKNOWN USE"""
Solanum indicum  L.,SOLANACEAE,"Barhanta, Birhatta (Hindi)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009170&column=szBarcode,"""UNKNOWN USE"""
Solanum melongena  L.,SOLANACEAE,"Bengan, Ubhi ringani (Guj)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013129&column=szBarcode,"""UNKNOWN USE"""
Solanum nigrum  L.,SOLANACEAE,Makoi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009164&column=szBarcode,"""UNKNOWN USE"""
Solanum spirale  Roxb.,SOLANACEAE,Mungaskajur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009165&column=szBarcode,"""UNKNOWN USE"""
Solanum surattense  Burm.f.,SOLANACEAE,"Kateli, Katai",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009173&column=szBarcode,"""UNKNOWN USE"""
Solanum torvum  Sw.,SOLANACEAE,Titbaigun (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009169&column=szBarcode,"""UNKNOWN USE"""
Solanum trilobatum  L.,SOLANACEAE,Alarka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009171&column=szBarcode,"""UNKNOWN USE"""
Solanum tuberosum  L.,SOLANACEAE,Alu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009175&column=szBarcode,"""UNKNOWN USE"""
Solidago virgaurea  L.,ASTERACEAE,Woundwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009309&column=szBarcode,"""UNKNOWN USE"""
Sonchus asper  (L.) Hill,ASTERACEAE,Didhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009306&column=szBarcode,"""UNKNOWN USE"""
Sonchus brachyotus  DC.,ASTERACEAE,Sadhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009308&column=szBarcode,"""UNKNOWN USE"""
Sonchus oleraceus  L.,ASTERACEAE,"Dudhi, Dodak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009307&column=szBarcode,"""UNKNOWN USE"""
Sonneratia caseolaris  (L.) Engl.,SONNERATIACEAE,"Orcha, Archa (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009525&column=szBarcode,"""UNKNOWN USE"""
Sophora mollis  (Royle) Baker,FABACEAE,"Kun, Malan (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003298&column=szBarcode,"""UNKNOWN USE"""
Sophora tomentosa  L.,FABACEAE,Silver Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003299&column=szBarcode,"""UNKNOWN USE"""
Sopubia delphinifolia  (L.) G.Don,SCROPHULARIACEAE,Dudhali (Mar. & Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008755&column=szBarcode,"""UNKNOWN USE"""
Sorbaria tomentosa  (Lindl.) Rehder,ROSACEAE,Baakhre jhaar (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009600&column=szBarcode,"""UNKNOWN USE"""
Sorbus aucuparia  L.,ROSACEAE,Baltal (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009620&column=szBarcode,"""UNKNOWN USE"""
Sorghum halepense  (L.) Pers.,POACEAE,Baru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003187&column=szBarcode,"""UNKNOWN USE"""
Soymida febrifuga  A.Juss.,MELIACEAE,"Rohun, Rohunna",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009861&column=szBarcode,"""UNKNOWN USE"""
Spermadictyon suaveolens  Roxb.,RUBIACEAE,Kondamuritidi (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009592&column=szBarcode,"""UNKNOWN USE"""
Sphaeranthus africanus  L.,ASTERACEAE,Sveta hapusa (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009320&column=szBarcode,"""UNKNOWN USE"""
Sphaeranthus indicus  L.,ASTERACEAE,"Mundi, Gorakh mundi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009319&column=szBarcode,"""UNKNOWN USE"""
Sphenodesme pentandra  Jack.,VERBENACEAE,Tukha-karaing (Kach.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013278&column=szBarcode,"""UNKNOWN USE"""
Spilanthes calva  DC.,ASTERACEAE,Akkalkara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009323&column=szBarcode,"""UNKNOWN USE"""
Spinacia oleracea  L.,CHENOPODIACEAE,Para cress (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013364&column=szBarcode,"""UNKNOWN USE"""
Spondias pinnata  (L.f.) Kurz,ANACARDIACEAE,"Ambada, Jangali Aam",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003383&column=szBarcode,"""UNKNOWN USE"""
Stachys palustris  L.,LAMIACEAE,Marsh Woundwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008655&column=szBarcode,"""UNKNOWN USE"""
Stachys parviflora  Benth.,LAMIACEAE,"Baggibuti, Kirimar (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008656&column=szBarcode,"""UNKNOWN USE"""
Stachys sylvatica  L.,LAMIACEAE,Hedge Woundwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008652&column=szBarcode,"""UNKNOWN USE"""
Stachytarpheta indica  (L.) Vahl,VERBENACEAE,Kariyartharani,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013204&column=szBarcode,"""UNKNOWN USE"""
Stellaria alsine  Grimm,CARYOPHYLLACEAE,Bog stitchwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013962&column=szBarcode,"""UNKNOWN USE"""
Stellaria media  (L.) Vill.,CARYOPHYLLACEAE,Morolia (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013961&column=szBarcode,"""UNKNOWN USE"""
Stemodia viscosa  Roxb.,SCROPHULARIACEAE,Nukachuni (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013268&column=szBarcode,"""UNKNOWN USE"""
Stephania glabra  (Roxb.) Miers.,MENISPERMACEAE,Gindaru (Garhwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013896&column=szBarcode,"""UNKNOWN USE"""
Stephania hernandifolia  (Willd.) Walp.,MENISPERMACEAE,"Musakani, Vanatiktika (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013894&column=szBarcode,"""UNKNOWN USE"""
Sterculia balanghas  L.,STERCULIACEAE,Kavalam (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013944&column=szBarcode,"""UNKNOWN USE"""
Sterculia foetida  L.,STERCULIACEAE,Jangli badam,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013941&column=szBarcode,"""UNKNOWN USE"""
Sterculia rubiginosa  Vent.,STERCULIACEAE,Rusty Sterculai (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013943&column=szBarcode,"""UNKNOWN USE"""
Sterculia urens  Roxb.,STERCULIACEAE,"Gular, Gulu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008603&column=szBarcode,"""UNKNOWN USE"""
Stereospermum chelonoides  (L.f.) DC.,BIGNONIACEAE,"Parral, Pader",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009122&column=szBarcode,"""UNKNOWN USE"""
Stereospermum personatum  (Hassk.) Chatterjee,BIGNONIACEAE,"Parral, Pader",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009124&column=szBarcode,"""UNKNOWN USE"""
Stranvaesia glaucescens  Lindl.,ROSACEAE,Gadh-mehal (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009605&column=szBarcode,"""UNKNOWN USE"""
Streblus asper  Lour.,MORACEAE,"Siora, Karchanua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009205&column=szBarcode,"""UNKNOWN USE"""
Striga asiatica  (L.) Kuntze,SCROPHULARIACEAE,Agia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008753&column=szBarcode,"""UNKNOWN USE"""
Striga gesnerioides  (Willd.) Vatke,SCROPHULARIACEAE,Missi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008751&column=szBarcode,"""UNKNOWN USE"""
Strobilanthes callosus  Nees,ACANTHACEAE,Maruadana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013334&column=szBarcode,"""UNKNOWN USE"""
Strobilanthes cusia  (Nees.) Kuntze,ACANTHACEAE,Rum (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013332&column=szBarcode,"""UNKNOWN USE"""
Strobilanthes lupulinus  Nees,ACANTHACEAE,Karun Kurinji (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013338&column=szBarcode,"""UNKNOWN USE"""
Strophanthus wightianus  Wall.,APOCYNACEAE,Neivalli (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009460&column=szBarcode,"""UNKNOWN USE"""
Strychnos aenea  A.W.Hill,LOGANIAACEAE,Mothira-kanjiram (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009519&column=szBarcode,"""UNKNOWN USE"""
Strychnos cinnamomifolia  Thwaites,LOGANIAACEAE,Valli-kanjiram (Madras),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009518&column=szBarcode,"""UNKNOWN USE"""
Strychnos colubrina  L.,LOGANIAACEAE,Kuchila lata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009520&column=szBarcode,"""UNKNOWN USE"""
Strychnos ignatii  Berg.,LOGANIACEAE,Pipita,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009647&column=szBarcode,"""UNKNOWN USE"""
Strychnos nux-vomica  L.,LOGANIAACEAE,"Bailewa, Kajra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009521&column=szBarcode,"""UNKNOWN USE"""
Strychnos potatorum  L.f.,LOGANIAACEAE,"Nirmali, Nelmal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009522&column=szBarcode,"""UNKNOWN USE"""
Styrax benzoin  Dryand.,STYRACACEAE,"Luban, Loban",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009513&column=szBarcode,"""UNKNOWN USE"""
Suaeda fruticosa  (L.) Forsk.,CHENOPODIACEAE,"Lunak, Chhoti-lani",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013374&column=szBarcode,"""UNKNOWN USE"""
Swertia alata  (D.Don) Royle ex C.B.Clarke,GENTIANACEAE,Bui (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013190&column=szBarcode,"""UNKNOWN USE"""
Swertia angustifolia  Buch.-Ham. ex D.Don,GENTIANACEAE,"Pahari kiretta, Mitha kirayat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009502&column=szBarcode,"""UNKNOWN USE"""
Swertia paniculata  Wall.,GENTIANACEAE,Kadavi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009501&column=szBarcode,"""UNKNOWN USE"""
Symplocos chinensis  (Lour.) Druce,SYMPLOCACEAE,Ludh,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009515&column=szBarcode,"""UNKNOWN USE"""
Symplocos racemosa  Roxb.,SYMPLOCACEAE,Lodha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009516&column=szBarcode,"""UNKNOWN USE"""
Synedrella nodiflora  (L.) Gaertn.,ASTERACEAE,Mudiyendra pacha (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009338&column=szBarcode,"""UNKNOWN USE"""
Syringa persica  L.,OLEACEAE,Hiasmin (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009570&column=szBarcode,"""UNKNOWN USE"""
Syzygium aromaticum  (L.) Merr. & L.M.Perry,MYRTACEAE,"Laung, Lavanga",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009650&column=szBarcode,"""UNKNOWN USE"""
Syzygium cumini  (L.) Skeels,MYRTACEAE,"Jaman, Jam",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009538&column=szBarcode,"""UNKNOWN USE"""
Syzygium jambos  (L.) Alston,MYRTACEAE,Gulabjaman (Hindi & Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009543&column=szBarcode,"""UNKNOWN USE"""
Syzygium zeylanicum  (L.) DC.,MYRTACEAE,Bhedas (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009539&column=szBarcode,"""UNKNOWN USE"""
Tabernaemontana divaricata  (L.) R.Br. ex Roem. & Schult.,APOCYNACEAE,"Chandni, Tagar",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009272&column=szBarcode,"""UNKNOWN USE"""
Tacca integrifolia  Ker-Gawl.,TACCACEAE,Vrahikanda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003013&column=szBarcode,"""UNKNOWN USE"""
Tagetes erecta  L.,ASTERACEAE,"Genda, Gultera",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009336&column=szBarcode,"""UNKNOWN USE"""
Tamarindus indica  L.,CAESALPINIACEAE,"Imli, Amli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003788&column=szBarcode,"""UNKNOWN USE"""
Taraxacum offininale  Weber,ASTERACEAE,"Dulal, Barau",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009295&column=szBarcode,"""UNKNOWN USE"""
Tarenna asiatica  (L.) Kuntze ex K.Schum.,RUBIACEAE,Kankra (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009393&column=szBarcode,"""UNKNOWN USE"""
Taverniera cuneifolia  (Roth) Arn.,FABACEAE,East-Indian Moneywort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003336&column=szBarcode,"""UNKNOWN USE"""
Taxus wallichiana  Zucc.,TAXACEAE,"Thuno, Birmi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009160&column=szBarcode,"""UNKNOWN USE"""
Tecoma stans  (L.) Juss. ex Kunth,BIGNONIACEAE,Sonapatti (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009125&column=szBarcode,"""UNKNOWN USE"""
Tecomella undulata  (Sm.) Seem.,BIGNONIACEAE,"Rugtrora, Roheda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009128&column=szBarcode,"""UNKNOWN USE"""
Tectona grandis  L.f.,VERBENACEAE,"Sagun, Sagwan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013201&column=szBarcode,"""UNKNOWN USE"""
Tephrosia candida  (Roxb.) DC.,FABACEAE,"Lashtia, Masethi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003353&column=szBarcode,"""UNKNOWN USE"""
Tephrosia purpurea  (L.) Pers.,FABACEAE,"Jand, Chaunkra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003352&column=szBarcode,"""UNKNOWN USE"""
Tephrosia uniflora  Pers.,FABACEAE,Kanthalu (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003350&column=szBarcode,"""UNKNOWN USE"""
Tephrosia villosa  (L.) Pers.,FABACEAE,Runchhalisarpankho (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003351&column=szBarcode,"""UNKNOWN USE"""
Teramnus labialis  (L.f.) Spreng,FABACEAE,"Mashoni, Mashparui",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003320&column=szBarcode,"""UNKNOWN USE"""
Terminalia alata  B.Heyne ex Roth,COMBRETACEAE,"Asan, Sain",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009563&column=szBarcode,"""UNKNOWN USE"""
Terminalia arjuna  (Roxb.) Wight & Arn.,COMBRETACEAE,Arjuna,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009561&column=szBarcode,"""UNKNOWN USE"""
Terminalia bellirica  (Gaertn.) Roxb.,COMBRETACEAE,Bahera,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009566&column=szBarcode,"""UNKNOWN USE"""
Terminalia bialata  Steud.,COMBRETACEAE,Safed chuglam (Andamans),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009636&column=szBarcode,"""UNKNOWN USE"""
Terminalia catappa  L.,COMBRETACEAE,Deshi Badam,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009565&column=szBarcode,"""UNKNOWN USE"""
Terminalia chebula  (Gaertn.) Retz.,COMBRETACEAE,Harre,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009564&column=szBarcode,"""Fruits have laxative, stomachic, and tonic properties that form a constituent of triphala, which is an important Ayurvedic medicine"""
Terminalia citrina  Roxb.,COMBRETACEAE,Hritaki (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009558&column=szBarcode,"""UNKNOWN USE"""
Terminalia coriacea  Wight & Arn.,COMBRETACEAE,Tani (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009559&column=szBarcode,"""UNKNOWN USE"""
Terminalia myriocarpa  Van Heurck & Muell.Arg.,COMBRETACEAE,Pnisaj (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009557&column=szBarcode,"""UNKNOWN USE"""
Terminalia pallida  Brandis,COMBRETACEAE,Tellakaraka (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009554&column=szBarcode,"""UNKNOWN USE"""
