Name of the Plant,Family,Common Name,Link,Uses
Alocasia macrorrhizos  (L.) G.Don,ARACEAE,Boro mankachu (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003214&column=szBarcode,"""UNKNOWN USE"""
Aloe vera  (L.) Burm.f.,LILIACEAE,Ghee-kunvar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003086&column=szBarcode,"""UNKNOWN USE"""
Aloysia triphylla  (L'Herit) Britton,VERBENACEAE,Aloysia triphylla (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013195&column=szBarcode,"""UNKNOWN USE"""
Alpinia galanga  (L.) Willd.,ZINGIBERACEAE,"Kulanjan, Barakulanjan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003138&column=szBarcode,"""UNKNOWN USE"""
Alpinia nigra  (Gaertn.) B.L.Burtt,ZINGIBERACEAE,Gong (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003140&column=szBarcode,"""UNKNOWN USE"""
Alstonia scholaris  (L.) R.Br.,APOCYNACEAE,"Chatium, Chattiyan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009268&column=szBarcode,"""Bark is bitter tonic, febrifuge, anthelmintic, galactagogue and used in the form of  tincture for chronic diarrhea, asthma and cardiac troubles. It is used as haemostatic.  Leaves are used in treatment of beri-beri, dropsy and congested liver. Latex is applied  to sores, ulcers, tumours and rheumatic swellings. Ash of the plant is employed as  caustic to open abscesses."""
Alstonia venenata  R.Br.,APOCYNACEAE,Pazha Munnipala (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009270&column=szBarcode,"""UNKNOWN USE"""
Alternanthera sessilis  (L.) R.Br. ex. DC.,AMARANTHACEAE,"Gudari sag, Giojihra (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008914&column=szBarcode,"""UNKNOWN USE"""
Althaea officinalis  L.,MALVACEAE,Marsh Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003901&column=szBarcode,"""UNKNOWN USE"""
Althaea rosea  (L.) Cav.,MALVACEAE,Holly-Hock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003900&column=szBarcode,"""UNKNOWN USE"""
Altingia excelsa  Noronha,HAMAMELIDACEAE,Silaras,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013710&column=szBarcode,"""UNKNOWN USE"""
Alysicarpus longifolius  (Rottler ex Spreng.) Wight & Arn.,FABACEAE,Longleaf Alyce Clover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003666&column=szBarcode,"""UNKNOWN USE"""
Alysicarpus vaginalis  (L.) DC.,FABACEAE,"Chauli, Sauri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003667&column=szBarcode,"""UNKNOWN USE"""
Amaranthus lividus  L.,AMARANTHACEAE,"Sada natya, Van natya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008840&column=szBarcode,"""UNKNOWN USE"""
Amaranthus tricolor  L.,AMARANTHACEAE,"Lal sag, Chaulai sag",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008838&column=szBarcode,"""UNKNOWN USE"""
Amaranthus viridis  L.,AMARANTHACEAE,Tanduliya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008841&column=szBarcode,"""UNKNOWN USE"""
Amaranthus caudatus  L.,AMARANTHACEAE,Ram dana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008916&column=szBarcode,"""UNKNOWN USE"""
Amaranthus spinosus  L.,AMARANTHACEAE,Kataili chaulai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008915&column=szBarcode,"""UNKNOWN USE"""
Ammania auriculata  Willd.,LYTHRACEAE,Jangli Mehndi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013793&column=szBarcode,"""UNKNOWN USE"""
Ammania baccifera  L.,LYTHRACEAE,Dadmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013791&column=szBarcode,"""UNKNOWN USE"""
