drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL493982,PRAZOSIN,CHEMBL493982,"""SCH 530348, Vorapaxar""",CHEMBL3527206,M20a/M22/M23/M24,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 8,,Conditions: in-vitro,20926621
CHEMBL493982,PRAZOSIN,CHEMBL3542381,M20,CHEMBL498785,M19,CYP3A4,CHEMBL340,Homo sapiens,1,fig 8,,Conditions: in-vitro,20926621
CHEMBL493982,PRAZOSIN,CHEMBL493982,"""SCH 530348, Vorapaxar""",CHEMBL3542381,M20,CYP3A4,CHEMBL340,Homo sapiens,1,fig 8,,Conditions: in-vitro,20926621
CHEMBL1201772,PRAZOSIN,CHEMBL3542346,sulfenic acid intermediate,CHEMBL3526804,R-133490,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL1201772,PRAZOSIN,CHEMBL3542346,sulfenic acid intermediate,CHEMBL3526431,R-138727,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL1201772,PRAZOSIN,CHEMBL3526804,R-133490,CHEMBL3526431,R-138727,,,Homo sapiens,1,fig 1,,Conditions: in-vitro,21036950
CHEMBL2095212,PRAZOSIN,CHEMBL3542393,"""M8, YM-538853""",CHEMBL1885632,"""M9, YM-340790""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL3542321,"""M16, YM-208876""",CHEMBL3542202,"""M5, YM-538852""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL3542321,"""M16, YM-208876""",CHEMBL3542357,M17,,,Homo sapiens,1,fig 6,,,22269146
CHEMBL151649,PRAZOSIN,CHEMBL151649,PEITC,CHEMBL3527413,PEITC-GSH,CYP2E1,CHEMBL5281,Homo sapiens,1,fig 10,,,23371965
CHEMBL151649,PRAZOSIN,CHEMBL151649,PEITC,CHEMBL2074871,PIC,CYP2E1,CHEMBL5281,Homo sapiens,1,fig 10,,,23371965
CHEMBL151649,PRAZOSIN,CHEMBL2074871,PIC,CHEMBL3526822,PIC-GSH,CYP2E1,CHEMBL5281,Homo sapiens,1,fig 10,,,23371965
CHEMBL151649,PRAZOSIN,CHEMBL2074871,PIC,CHEMBL610,Phenethylamine,CYP2E1,CHEMBL5281,Homo sapiens,1,fig 10,,,23371965
CHEMBL151649,PRAZOSIN,CHEMBL2074871,PIC,CHEMBL3527295,P450 protein adduct,CYP2E1,CHEMBL5281,Homo sapiens,1,fig 10,,,23371965
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542407,"""M11, YM-382984""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542359,"""M13, YM-538859""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542358,"""M12, YM-538858""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542393,"""M8, YM-538853""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542321,"""M16, YM-208876""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542360,"""M14, YM-554028""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL2095212,PRAZOSIN,CHEMBL2095212,"""YM178, Mirabegron""",CHEMBL3542320,"""M15, YM-9636324""",,,Homo sapiens,1,fig 6,,,22269146
CHEMBL1272307,PRAZOSIN,CHEMBL3542348,inferred metabolite 2,CHEMBL3527503,"""M25, GSK2329158""",,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3527393,"""M98, GSK2329163""",CHEMBL3526808,M94,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3542348,inferred metabolite 2,CHEMBL3527393,"""M98, GSK2329163""",,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3527503,"""M25, GSK2329158""",CHEMBL3526811,M41,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3526736,M86,CHEMBL3527503,"""M25, GSK2329158""",,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3527285,M20 and M21,CHEMBL3527286,"""M99,M100,M102""",,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3542347,inferred metabolite 1,CHEMBL3542348,inferred metabolite 2,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3542347,inferred metabolite 1,CHEMBL3526736,M86,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3542347,inferred metabolite 1,CHEMBL3527285,M20 and M21,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL3542347,inferred metabolite 1,CHEMBL3526813,M95,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL1272307,SB-649868,CHEMBL3527303,M8,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL1272307,SB-649868,CHEMBL3526735,M32,,,Homo sapiens,1,fig 6,,,21045199
CHEMBL1272307,PRAZOSIN,CHEMBL1272307,SB-649868,CHEMBL3542347,inferred metabolite 1,,,Homo sapiens,1,fig 6,,,21045199
