Name of the Plant,Family,Common Name,Link
Randia longiflora  Lam.,RUBIACEAE,Pulikaint (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009391&column=szBarcode
Randia tomentosa  Hook.f.,RUBIACEAE,Mainphal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009387&column=szBarcode
Ranunculus aquatilis  L.,RANUNCULACEAE,Water-Crowfoot (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013927&column=szBarcode
Ranunculus arvensis  L.,RANUNCULACEAE,Chambul (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013921&column=szBarcode
Ranunculus cantoniensis  DC.,RANUNCULACEAE,Chinese Buttercup (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013923&column=szBarcode
Ranunculus lingua  L.,RANUNCULACEAE,Great Spearwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013926&column=szBarcode
Ranunculus muricatus  L.,RANUNCULACEAE,Rough-fruited Buttercup (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013922&column=szBarcode
Ranunculus sceleratus  L.,RANUNCULACEAE,Jaldhania,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013924&column=szBarcode
Raphanus sativus  L.,BRASSICACEAE,"Muli, Muri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013856&column=szBarcode
Rauvolfia sarpentina  (L.) Benth. ex Kurz,APOCYNACEAE,"Chandrabhaga, Chota chand",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009464&column=szBarcode
Rauvolfia tetraphylla  L.,APOCYNACEAE,Barachandrika,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009465&column=szBarcode
Reinwardtia indica  Dumort.,LINACEAE,Basanthi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013821&column=szBarcode
Reissantia indica  (Willd.) Halle,HIPPOCRATEACEAE,Atari-lata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003475&column=szBarcode
Remusatia vivipara  (Roxb.) Schott,ARACEAE,Rukhalu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002986&column=szBarcode
Reseda odorata  L.,RESEDACEAE,Mignonette (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013853&column=szBarcode
Rhamnus nepalensis  (Wall.) M.A.Lawson,RHAMNACEAE,Biringa (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003431&column=szBarcode
Rhamnus purpureus  Edgew.,RHAMNACEAE,Purple Buckthorn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003433&column=szBarcode
Rhamnus triquetra  Wall. ex Roxb.,RHAMNACEAE,"Gudlei, Fagora (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003432&column=szBarcode
Rhamnus virgatus  Roxb.,RHAMNACEAE,"Chato, Chadua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003435&column=szBarcode
Rhamnus wightii  Wight & Arn.,RHAMNACEAE,Wight's Buckthorn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003434&column=szBarcode
Rheum emodi  Wall. ex Meissn.,POLYGONACEAE,Hindirevandchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013428&column=szBarcode
Rheum spiciforme  Royle,POLYGONACEAE,Archu (Garhwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013426&column=szBarcode
Rheum webbianum  Royle,POLYGONACEAE,Archu (Garhwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013429&column=szBarcode
Rhinacanthus nasuta  (L.) Kurz,ACANTHACEAE,Palak juhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013317&column=szBarcode
Rhizophora mucronata  Lam.,RHIZOPHORACEAE,"Kamo, Bhora (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009441&column=szBarcode
Rhodamnia trinervia  Blume,MYRTACEAE,Brown Mallet-Wood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009649&column=szBarcode
Rhododendron anthopogon  D.Don,ERICACEAE,Nichni (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013549&column=szBarcode
Rhododendron arboreum  Sm.,ERICACEAE,Burans,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013545&column=szBarcode
Rhododendron campanulatum  D.Don,ERICACEAE,Cherailu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013543&column=szBarcode
Rhododendron lepidotum  Wall. ex G.Don,ERICACEAE,Talisfur (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013542&column=szBarcode
Rhododendron setosum  D.Don,ERICACEAE,Tsalluo (Bhutan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013539&column=szBarcode
Rhodomyrtus tomentosa  Wight,MYRTACEAE,Kattupera (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009547&column=szBarcode
Rhus coriaria  L.,ANACARDIACEAE,Sicilian Sumac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003372&column=szBarcode
Rhus hookeri  K.C.Sahni & Bahadur,ANACARDIACEAE,Momphulai (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003446&column=szBarcode
Rhus javanica  L.,ANACARDIACEAE,Nutgall tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003450&column=szBarcode
Rhus parviflora  Roxb. ex DC.,ANACARDIACEAE,"Tung, Raitung",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003449&column=szBarcode
Rhus punjabensis  J.L.Stew. ex Brand.,ANACARDIACEAE,Dor (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003447&column=szBarcode
Rhus succedanea  L.,ANACARDIACEAE,Kakra-singi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003451&column=szBarcode
Rhynchosia minima  (L.) DC.,FABACEAE,Daktaranghevda (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003303&column=szBarcode
Rhynchostylis retusa  (L.) Blume,ORCHIDACEAE,Draupadi mala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002973&column=szBarcode
Ribes alpestre  Wall. ex Decne.,GROSSULARIACEAE,Amlanch (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013523&column=szBarcode
Ribes orientalis  Desf.,GROSSULARIACEAE,Askuta (Ladakh),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013524&column=szBarcode
Ricinus communis  L.,EUPHORBIACEAE,Erandi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008776&column=szBarcode
Rivea ornata  (Roxb.) Choisy.,CONVOLVULACEAE,Phanji (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009773&column=szBarcode
Rorippa indica  (L.) Hiern,BRASSICACEAE,Chamsuru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013873&column=szBarcode
Rorippa islandica  (Oeder) Borbás,BRASSICACEAE,Yellow marshcress (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013874&column=szBarcode
Rorippa nasturtium-aquaticum  (L.) Hayek,BRASSICACEAE,"Chhuch, Jal-indushoor",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013875&column=szBarcode
Rosa banksiae  R.Br.,ROSACEAE,Bank's Rose,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009603&column=szBarcode
Rosa brunonii  Lindl.,ROSACEAE,"Kuji, Kunja",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009624&column=szBarcode
Rosa centifolia  L.,ROSACEAE,Gulab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009626&column=szBarcode
Rosa damascena  Mill.,ROSACEAE,Fasli Gulab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009622&column=szBarcode
Rosa multiflora  Thunb.,ROSACEAE,Multiflora Rose (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009621&column=szBarcode
Roscoea purpurea  Sm.,ZINGIBERACEAE,Rasagaree (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003026&column=szBarcode
Rosmarinus officinalis  L.,LAMIACEAE,Rusmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013232&column=szBarcode
Rotula aquatica  Lour.,BORAGINACEAE,Sherni (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009145&column=szBarcode
Roylea cineria  (D.Don) Baill.,LAMIACEAE,Patkarru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013350&column=szBarcode
Rubia cordifolia  L.,RUBIACEAE,"Manjit, Manjitha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009591&column=szBarcode
Rubia tinctorum  L.,RUBIACEAE,Bacho (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009375&column=szBarcode
Rubus moluccanus  L.,ROSACEAE,Katsoi (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009617&column=szBarcode
Rumex acetosa  L.,POLYGONACEAE,Khatta palak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013408&column=szBarcode
Rumex acetosella  L.,POLYGONACEAE,Chuk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013400&column=szBarcode
Rumex crispus  L.,POLYGONACEAE,Yellow Dock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013403&column=szBarcode
Rumex dentatus  L.,POLYGONACEAE,"Ambavah, Amrule",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013412&column=szBarcode
Rumex maritimus  L.,POLYGONACEAE,"Jub-palum, Jungli palak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013414&column=szBarcode
Rumex nepalensis  Spreng.,POLYGONACEAE,Pahari palang,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013409&column=szBarcode
Rumex scutatus  L.,POLYGONACEAE,Ambavati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013401&column=szBarcode
Rungia parviflora  (Retz.) Nees,ACANTHACEAE,Moto khadsalyo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013313&column=szBarcode
Rungia repens  (L.) Nees,ACANTHACEAE,Kharmor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013314&column=szBarcode
Ruta graveolens  L.,RUTACEAE,Garden Rue (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009845&column=szBarcode
Saccharum bengalense  Retz.,POACEAE,Kans,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003050&column=szBarcode
Saccharum spontaneum  L.,POACEAE,"Kans, Kas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003047&column=szBarcode
Sageraea laurifolia  (Grah.) Blatter,ANNONACEAE,"Sageree, Harkinjal (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009914&column=szBarcode
Sagittaria sagittifolia  L.,ALISMATACEAE,"Chhoto-kut, Muya Muya (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002979&column=szBarcode
Salacia chinensis  L.,CELASTRACEAE,"Saptrangi, Dimal (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003401&column=szBarcode
Salacia oblonga  Wall.,CELASTRACEAE,Chundan (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003403&column=szBarcode
Salacia reticulata  Wight,CELASTRACEAE,"Saptarangi, Etanayakam (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003399&column=szBarcode
Salicornia brachiata  Roxb.,CHENOPODIACEAE,Muchul (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013372&column=szBarcode
Salix acmophylla  Boiss.,SALICACEAE,"Bada, Bed",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009101&column=szBarcode
Salix babylonica  L.,SALICACEAE,Attuppalai (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009100&column=szBarcode
Salix caprea  L.,SALICACEAE,Bedmushk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009099&column=szBarcode
Salix tetrasperma  Roxb.,SALICACEAE,"Bod, Bent",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009102&column=szBarcode
Salsola baryosma  (R.& S.) Dandy,CHENOPODIACEAE,Ellakura (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013378&column=szBarcode
Salsola kali  L.,CHENOPODIACEAE,Sajjibuti (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013379&column=szBarcode
Salvadora oleoides  Decne.,SALVADORACEAE,"Bahapilu, Chootapilu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009528&column=szBarcode
Salvadora persica  L.,SALVADORACEAE,"Jhak, Kharjal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009530&column=szBarcode
Salvia aegyptica  L.,LAMIACEAE,Tukham malanga (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013241&column=szBarcode
Salvia moorcroftiana  Wall. ex Benth.,LAMIACEAE,"Thuth, Kali jarri (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013245&column=szBarcode
Salvia officinalis  L.,LAMIACEAE,Salvia sefakuss,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013237&column=szBarcode
Salvia plebeia  R.Br.,LAMIACEAE,Kaka-buradi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013243&column=szBarcode
Samadera indica  Gaertn.,SIMAROUBACEAE,"Nibam, Mepa, Karinjottei (Tam.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009850&column=szBarcode
Sambucus nigra  L.,CAPRIFOLIACEAE,European or Black Elder (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009654&column=szBarcode
Sambucus wightiana  Wall. ex Wight & Arn.,CAPRIFOLIACEAE,Richhkas (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009537&column=szBarcode
Sandoricum indicum  Cav.,MELIACEAE,Sayai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009859&column=szBarcode
Santaloides minus  Schellenb.,CONNARACEAE,"Kalavidhara, Vidhara",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003436&column=szBarcode
Santalum album  L.,SANTALACEAE,"Safed chandan, Sandal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013362&column=szBarcode
Sapindus mukorossi  Gaertn.,SAPINDACEAE,"Ritha, Reetha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003396&column=szBarcode
Sapindus trifoliatus  L.,SAPINDACEAE,"Reetha, Ritha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003398&column=szBarcode
Sapium indicum  Willd.,EUPHORBIACEAE,Hurna,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008780&column=szBarcode
Sapium insigne  (Royle) Benth.,EUPHORBIACEAE,"Khinna, Khirun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008784&column=szBarcode
Sapium sebiferum  (L.) Roxb.,EUPHORBIACEAE,"Pippalyang, Vilayati-shisham",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008782&column=szBarcode
Saprosma ternatum  Benth. & Hook.f.,RUBIACEAE,Bhedeli (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009594&column=szBarcode
Saraca indica  L.,CAESALPINIACEAE,"Asok, Ashoka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003291&column=szBarcode
Sarcococca saligna  Muell.Arg.,EUPHORBIACEAE,Sukat sing (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008788&column=szBarcode
Sarcostemma acidum  (Roxb.) Voigt.,ASCLEPIADACEAE,Somlata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009472&column=szBarcode
Sarcostemma brunonianum  Wight & Arn.,ASCLEPIADACEAE,Muroakiriya (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009473&column=szBarcode
Sarcostemma intermedium  Decne.,ASCLEPIADACEAE,Phok (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009470&column=szBarcode
Sarcostigma kleinii  Wight & Arn.,ICACINACEAE,Ingudi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013184&column=szBarcode
Satureja hortensis  L.,LAMIACEAE,Summer Savory (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008715&column=szBarcode
Sauromatum venosum  (Aiton) Kunth,ARACEAE,Nurki (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002991&column=szBarcode
Sauropus androgynus  (L.) Merr.,EUPHORBIACEAE,Thavasai murungai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008795&column=szBarcode
Sauropus quadrangularis  (Willd.) Müll.Arg.,EUPHORBIACEAE,Tellavusirika (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008797&column=szBarcode
Saussurea affinis  Spreng. ex DC.,ASTERACEAE,Gangamula (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009350&column=szBarcode
Saussurea auriculata  (Spreng. ex DC.) Sch.Bip.,ASTERACEAE,Kut,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009349&column=szBarcode
Saussurea heteromalla  (D.Don) Hand.-Mazz.,ASTERACEAE,Batula (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009353&column=szBarcode
Saussurea lappa  (Decne.) Sch.Bip.,ASTERACEAE,"Kut, Kur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009352&column=szBarcode
Saussurea obvallata  (DC.) Sch.Bip.,ASTERACEAE,Kanwal (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009351&column=szBarcode
Scaevola taccada  (Gaertn.) Roxb.,GOODENIACEAE,Bhadrak (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013194&column=szBarcode
Schima wallichii  (DC.) Korth.,THEACEAE,"Chilauni, Kanak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013817&column=szBarcode
Schleichera oleosa  (Lour.) Oken,SAPINDACEAE,Kusum,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003394&column=szBarcode
Schrebera swietenioides  Roxb.,OLEACEAE,"Moka, Banpalas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009573&column=szBarcode
Schweinfurthia papilionacea  (Burm.f.) Boiss.,SCROPHULARIACEAE,"Nepal nimb, Sanipat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013188&column=szBarcode
Scilla hyacinthina  (Roth) Macbridge,LILIACEAE,Safedi-khus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002957&column=szBarcode
Scindapsus officinalis  (Roxb.) Schott,ARACEAE,"Gajapipal, Pippal-jhanca",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002985&column=szBarcode
Scirpus articulatus  L.,CYPERACEAE,Chichora,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003236&column=szBarcode
Scirpus grossus  L.f.,CYPERACEAE,"Kasuru, Kesur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003232&column=szBarcode
Scirpus lacustris  L.,CYPERACEAE,Great Bulrush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003235&column=szBarcode
Scirpus maritimus  L.,CYPERACEAE,Saltmarsh buirush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003234&column=szBarcode
Scleria levis  Retz.,CYPERACEAE,Nutrushes (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003230&column=szBarcode
Scleria lithosperma  (L.) Sw.,CYPERACEAE,Nakkupullu (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003231&column=szBarcode
Scoparia dulcis  L.,SCROPHULARIACEAE,Jastimadhu (Santal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008761&column=szBarcode
Scutellaria discolor  Wall. ex Benth.,LAMIACEAE,Daampaate (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013215&column=szBarcode
Scutellaria galericulata  L.,LAMIACEAE,Common Skullcap (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013214&column=szBarcode
Sebastiania chamaelea(L.)  Muell.Arg.,EUPHORBIACEAE,Bhuierendi (Konkan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008786&column=szBarcode
Secamone emetica  (Retz.) R.Br. ex Sm.,EUPHORBIACEAE,Shadaburi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009468&column=szBarcode
Securinega leucopyrus  (Willd.) Müll.Arg.,EUPHORBIACEAE,"Hartho, Ainta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008818&column=szBarcode
Securinega virosa  (Roxb. ex Willd.) Baill.,EUPHORBIACEAE,"Dalme, Patala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008820&column=szBarcode
Sedum multicaule  Wall. ex Lindl.,CRASSULACEAE,Multi-Stem Sedum (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009440&column=szBarcode
Semecarpus anacardium  L.f.,ANACARDIACEAE,"Bhela, Bhilawa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003443&column=szBarcode
Senecio bhutanicus  N.P.Balakr.,ASTERACEAE,Lemon Bean Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009343&column=szBarcode
Senecio chrysanthemoides  DC.,ASTERACEAE,Cheerful Senecio (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009346&column=szBarcode
Senecio jacquemontianus  (Decne.) Benth. ex Hook.f.,ASTERACEAE,Poshkar (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009342&column=szBarcode
Senecio tenuifolius  Burm.f.,ASTERACEAE,Katimera (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009341&column=szBarcode
Senecio vulgaris  L.,ASTERACEAE,Groundsel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009294&column=szBarcode
Sesamum orientale  L.,PEDALIACEAE,Til,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009086&column=szBarcode
Sesbania bispinosa  (Jacq.) W.Wight,FABACEAE,Ikkada,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003343&column=szBarcode
Sesbania grandiflora  (L.) Poir.,FABACEAE,"Bak, Agasti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003342&column=szBarcode
Sesbania sesban  (L.) Merr.,FABACEAE,"Jainti, Jait",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003344&column=szBarcode
Seseli diffusum  (Roxb. ex Sm.) Santapau & Wagh,APIACEAE,Vanayamani (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013517&column=szBarcode
Seseli sibiricum  Benth. ex C.B.Clarke,APIACEAE,Bhootakeshi (J &K),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013516&column=szBarcode
Setaria plicata  (Lam.) T.Cook,POACEAE,Kangni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002938&column=szBarcode
Shorea robusta  Gaertn.f.,DIPTEROCARPACEAE,"Sal, Sakhu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013848&column=szBarcode
Sida acuta  Burm.f.,MALVACEAE,"Bariara, Kareta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013843&column=szBarcode
Sida cordata  (Burm.f.) Borss.Waalk.,MALVACEAE,"Bhiunli, Junka (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013846&column=szBarcode
Sida cordifolia  L.,MALVACEAE,Kungyi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013841&column=szBarcode
Sida ovata  Forsk.,MALVACEAE,Ball (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013844&column=szBarcode
Sida rhombifolia  L.,MALVACEAE,Lal barela,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013842&column=szBarcode
Siegesbeckia orientalis  L.,ASTERACEAE,Pilibadkadi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009331&column=szBarcode
Silene conoidea  L.,CARYOPHYLLACEAE,Cone campion (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013959&column=szBarcode
Silene gallica  L.,CARYOPHYLLACEAE,Windmill Pink (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013967&column=szBarcode
Silybum marianum  (L.) Gaertn.,ASTERACEAE,Milk Thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009329&column=szBarcode
Sisymbrium altissimum  L.,BRASSICACEAE,Tumble-Mustard (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013872&column=szBarcode
Sisymbrium irio  L.,BRASSICACEAE,Khubkalan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013871&column=szBarcode
Sisymbrium loeselii  L.,BRASSICACEAE,Small tumble weed mustard (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013869&column=szBarcode
Skimmia laureola  (DC.) Sieb. & Zucc. ex Walp.,RUTACEAE,"Kedarpatta, Masturipath (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009836&column=szBarcode
Smilax glabra  Roxb.,SMILACACEAE,Barichob-chini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003004&column=szBarcode
Smilax lanceaefolia  Roxb.,SMILACACEAE,Hindichobchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003007&column=szBarcode
Smilax ovalifolia  Roxb.,SMILACACEAE,"Jangli- aushbah, Chob-chini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003009&column=szBarcode
