Name of the Plant,Family,Common Name,Link
Antidesma bunius  Spreng.,EUPHORBIACEAE,Amati (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008989&column=szBarcode
Apama siliquosa  Lam.,ARISTOLOCHIACEAE,Kuravankanda (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008875&column=szBarcode
Aphanamixis polystachya  (Wall.) R.Parker,MELIACEAE,Harin-harra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009887&column=szBarcode
Apium graveolens  L.,APIACEAE,"Shalari, Ajmud",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013759&column=szBarcode
Aquilegia vulgaris  L.,RANUNCULACEAE,Common Columbine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009948&column=szBarcode
Arachis hypogaea  L.,FABACEAE,Mung-phali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003685&column=szBarcode
Arachne cordifolia  (Decne.) Hurus.,EUPHORBIACEAE,"Bharti, Bhartoi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008959&column=szBarcode
Arctium lappa  L.,ASTERACEAE,"Jangli Kuth, Burdock (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013628&column=szBarcode
Ardisia solanacea  (Poir.) Roxb.,MYRSINACEAE,Dhan-priya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009223&column=szBarcode
Areca catechu  L.,ARECACEAE,"Supari, Chaali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003212&column=szBarcode
Areca triandra  Roxb. ex Buch.-Ham.,ARECACEAE,wild areca palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003213&column=szBarcode
Arenga saccharifera  Labill.,ARECACEAE,Sugar palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003211&column=szBarcode
Argemone mexicana  L.,PAPAVERACEAE,Bharbhand,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003773&column=szBarcode
Argyreia cuneata  (Willd.) Ker.-Gawl,CONVOLVULACEAE,Mhalungi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009690&column=szBarcode
Argyreia imbricata  (Roth) Santapau & V.Patel,CONVOLVULACEAE,Errakuta (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009695&column=szBarcode
Argyreia nervosa  (Burm.f.) Boj.,CONVOLVULACEAE,"Samudrasokha, Ghavapatta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009693&column=szBarcode
