drug_name, chembl_id, molecular_weight, logP, polar_surface_area, h_bond_donors, h_bond_acceptors, is_natural_product, current_indications
"MYCOPHENOLATE MOFETIL", "CHEMBL1456", 433.5, 2.52, 94.53, 1, 8, TRUE, "hypertension; rheumatoid arthritis; gout; Langerhans Cell Histiocytosis; Fish-eye disease; "
"BENDAZAC", "CHEMBL1089221", 282.3, 2.55, 64.35, 1, 4, FALSE, "Arthralgia; Myalgia; eye inflammation; "
"METHOXSALEN", "CHEMBL416", 216.19, 2.55, 52.58, 0, 4, TRUE, "rheumatoid arthritis; graft versus host disease; lymphoma; pancreatic carcinoma; Crohn's disease; "
"ROFECOXIB", "CHEMBL122", 314.36, 2.56, 60.44, 0, 4, TRUE, "Alzheimer disease; rheumatic disease; prostate cancer; pain; osteoarthritis; "
"CORTISONE ACETATE", "CHEMBL1650", 402.49, 2.56, 97.74, 1, 6, TRUE, "rheumatoid arthritis; asthma; eye inflammation; gout; osteoarthritis; "
"TETRACAINE", "CHEMBL698", 264.37, 2.62, 41.57, 1, 4, TRUE, "injury; pain; cataract; hemorrhoid; skin disease; "
"VONOPRAZAN FUMARATE", "CHEMBL2064032", 345.4, 2.65, 63.99, 1, 5, FALSE, "gastroesophageal reflux disease; Helicobacter pylori infectious disease; gastric ulcer; duodenal ulcer; esophagitis; "
"VONOPRAZAN", "CHEMBL2079130", 345.4, 2.65, 63.99, 1, 5, FALSE, "gastroesophageal reflux disease; Helicobacter pylori infectious disease; Peptic ulcer; esophagitis; "
"LETROZOLE", "CHEMBL1444", 285.31, 2.66, 78.29, 0, 5, TRUE, "carcinoma; breast cancer; neoplasm; Hermansky-Pudlak syndrome; breast carcinoma; "
"BUDESONIDE", "CHEMBL1370", 430.54, 2.72, 93.06, 2, 6, TRUE, "Diarrhea; COVID-19; lung cancer; chronic obstructive pulmonary disease; severe acute respiratory syndrome; "
"ZILEUTON", "CHEMBL93", 236.3, 2.73, 66.56, 2, 3, TRUE, "nicotine dependence; lung cancer; chronic obstructive pulmonary disease; acne; asthma; "
"VAMOROLONE", "CHEMBL2348780", 356.46, 2.75, 74.6, 2, 4, FALSE, "ulcerative colitis; Duchenne muscular dystrophy; Becker muscular dystrophy; "
"TIRABRUTINIB", "CHEMBL4071161", 454.49, 2.75, 108.27, 1, 8, FALSE, "rheumatoid arthritis; neoplasm; chronic lymphocytic leukemia; Sjogren syndrome; non-Hodgkins lymphoma; "
"LOXOPROFEN", "CHEMBL19299", 246.31, 2.79, 54.37, 1, 2, TRUE, "Arthralgia; Myalgia; rheumatoid arthritis; rheumatic disease; pain; "
"COLCHICINE", "CHEMBL107", 399.44, 2.87, 83.09, 1, 6, TRUE, "hypertension; COVID-19; severe acute respiratory syndrome; heart failure; asthma; "
"PANTOPRAZOLE", "CHEMBL1502", 383.38, 2.88, 92.32, 1, 6, FALSE, "schizophrenia; bacterial disease; prostate cancer; hemorrhage; congestive heart failure; "
"BROMFENAC", "CHEMBL1077", 334.17, 2.89, 80.39, 2, 3, TRUE, "eye inflammation; inflammation; cataract; age-related macular degeneration; presbyopia; "
"BROMFENAC SODIUM", "CHEMBL3181947", 334.17, 2.89, 80.39, 2, 3, FALSE, "pain; inflammation; cataract; Ocular pain; "
"ESOMEPRAZOLE SODIUM", "CHEMBL1200470", 345.42, 2.9, 83.09, 1, 5, FALSE, "gastroesophageal reflux disease; peptic ulcer disease; duodenal ulcer; "
"ESOMEPRAZOLE", "CHEMBL1201320", 345.42, 2.9, 83.09, 1, 5, TRUE, "asthma; hemorrhage; osteoarthritis; gastrointestinal disease; lymphoma; "
